subject_33, Fold 0, Epoch 1, Train ACC: 0.2679, Val ACC: 0.3929
subject_33, Fold 1, Epoch 22, Train ACC: 0.8661, Val ACC: 0.6786
subject_33, Fold 1, Epoch 23, Train ACC: 0.8839, Val ACC: 0.6607
subject_33, Fold 1, Epoch 24, Train ACC: 0.8884, Val ACC: 0.6429
subject_33, Fold 1, Epoch 25, Train ACC: 0.8527, Val ACC: 0.6250
subject_33, Fold 1, Epoch 26, Train ACC: 0.9018, Val ACC: 0.6964
subject_33, Fold 1, Epoch 27, Train ACC: 0.9152, Val ACC: 0.6250
subject_33, Fold 1, Epoch 28, Train ACC: 0.9152, Val ACC: 0.6964
subject_33, Fold 1, Best Epoch: 18, Final Val ACC: 0.6964, Final Val F1: 0.6794

subject_33, Fold 1, Epoch 1, Train ACC: 0.7902, Val ACC: 0.6964
subject_33, Fold 1, Epoch 2, Train ACC: 0.9107, Val ACC: 0.6429
subject_33, Fold 1, Epoch 3, Train ACC: 0.9821, Val ACC: 0.6786
subject_33, Fold 1, Epoch 4, Train ACC: 0.9955, Val ACC: 0.6607
subject_33, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6964
subject_33, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6964
subject_33, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 1, Best Epoch: 1, Final Val ACC: 0.6964, Final Val F1: 0.6921

subject_33, Fold 2, Epoch 1, Train ACC: 0.3214, Val ACC: 0.3036
subject_33, Fold 2, Epoch 2, Train ACC: 0.5357, Val ACC: 0.5179
subject_33, Fold 2, Epoch 3, Train ACC: 0.5848, Val ACC: 0.5357
subject_33, Fold 2, Epoch 4, Train ACC: 0.6429, Val ACC: 0.4821
subject_33, Fold 2, Epoch 5, Train ACC: 0.6562, Val ACC: 0.6071
subject_33, Fold 2, Epoch 6, Train ACC: 0.7411, Val ACC: 0.4821
subject_33, Fold 2, Epoch 7, Train ACC: 0.7054, Val ACC: 0.5179
subject_33, Fold 2, Epoch 8, Train ACC: 0.7277, Val ACC: 0.5179
subject_33, Fold 2, Epoch 9, Train ACC: 0.7545, Val ACC: 0.5536
subject_33, Fold 2, Epoch 10, Train ACC: 0.7679, Val ACC: 0.5179
subject_33, Fold 2, Epoch 11, Train ACC: 0.7545, Val ACC: 0.6250
subject_33, Fold 2, Epoch 12, Train ACC: 0.7991, Val ACC: 0.6250
subject_33, Fold 2, Epoch 13, Train ACC: 0.8036, Val ACC: 0.6071
subject_33, Fold 2, Epoch 14, Train ACC: 0.8482, Val ACC: 0.5179
subject_33, Fold 2, Epoch 15, Train ACC: 0.8438, Val ACC: 0.5536
subject_33, Fold 2, Epoch 16, Train ACC: 0.8482, Val ACC: 0.5357
subject_33, Fold 2, Epoch 17, Train ACC: 0.8482, Val ACC: 0.5357
subject_33, Fold 2, Epoch 18, Train ACC: 0.8482, Val ACC: 0.5893
subject_33, Fold 2, Epoch 19, Train ACC: 0.8259, Val ACC: 0.6429
subject_33, Fold 2, Epoch 20, Train ACC: 0.8750, Val ACC: 0.6071
subject_33, Fold 2, Epoch 21, Train ACC: 0.8482, Val ACC: 0.6071
subject_33, Fold 2, Epoch 22, Train ACC: 0.8750, Val ACC: 0.6250
subject_33, Fold 2, Epoch 23, Train ACC: 0.8661, Val ACC: 0.6071
subject_33, Fold 2, Epoch 24, Train ACC: 0.8929, Val ACC: 0.6250
subject_33, Fold 2, Epoch 25, Train ACC: 0.8839, Val ACC: 0.6071
subject_33, Fold 2, Epoch 26, Train ACC: 0.8616, Val ACC: 0.6250
subject_33, Fold 2, Epoch 27, Train ACC: 0.8929, Val ACC: 0.5714
subject_33, Fold 2, Epoch 28, Train ACC: 0.8616, Val ACC: 0.6071
subject_33, Fold 2, Epoch 29, Train ACC: 0.9330, Val ACC: 0.6071
subject_33, Fold 2, Best Epoch: 19, Final Val ACC: 0.6429, Final Val F1: 0.5735

subject_33, Fold 2, Epoch 1, Train ACC: 0.7679, Val ACC: 0.5357
subject_33, Fold 2, Epoch 2, Train ACC: 0.8884, Val ACC: 0.6429
subject_33, Fold 2, Epoch 3, Train ACC: 0.9688, Val ACC: 0.6607
subject_33, Fold 2, Epoch 4, Train ACC: 0.9911, Val ACC: 0.7143
subject_33, Fold 2, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 2, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6964
subject_33, Fold 2, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6964
subject_33, Fold 2, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6964
subject_33, Fold 2, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 2, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 2, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 2, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 2, Epoch 13, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 2, Epoch 14, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 2, Best Epoch: 4, Final Val ACC: 0.7143, Final Val F1: 0.6871

subject_33, Fold 3, Epoch 1, Train ACC: 0.2455, Val ACC: 0.3214
subject_33, Fold 3, Epoch 2, Train ACC: 0.5268, Val ACC: 0.3750
subject_33, Fold 3, Epoch 3, Train ACC: 0.5536, Val ACC: 0.5000
subject_33, Fold 3, Epoch 4, Train ACC: 0.6429, Val ACC: 0.5179
subject_33, Fold 3, Epoch 5, Train ACC: 0.6830, Val ACC: 0.5179
subject_33, Fold 3, Epoch 6, Train ACC: 0.6652, Val ACC: 0.5893
subject_33, Fold 3, Epoch 7, Train ACC: 0.7589, Val ACC: 0.5893
subject_33, Fold 3, Epoch 8, Train ACC: 0.7589, Val ACC: 0.5714
subject_33, Fold 3, Epoch 9, Train ACC: 0.7589, Val ACC: 0.5179
subject_33, Fold 3, Epoch 10, Train ACC: 0.7812, Val ACC: 0.5536
subject_33, Fold 3, Epoch 11, Train ACC: 0.7723, Val ACC: 0.6071
subject_33, Fold 3, Epoch 12, Train ACC: 0.8080, Val ACC: 0.5357
subject_33, Fold 3, Epoch 13, Train ACC: 0.7500, Val ACC: 0.6071
subject_33, Fold 3, Epoch 14, Train ACC: 0.8214, Val ACC: 0.5536
subject_33, Fold 3, Epoch 15, Train ACC: 0.8348, Val ACC: 0.5893
subject_33, Fold 3, Epoch 16, Train ACC: 0.8304, Val ACC: 0.5714
subject_33, Fold 3, Epoch 17, Train ACC: 0.8348, Val ACC: 0.5714
subject_33, Fold 3, Epoch 18, Train ACC: 0.8125, Val ACC: 0.5714
subject_33, Fold 3, Epoch 19, Train ACC: 0.8348, Val ACC: 0.6250
subject_33, Fold 3, Epoch 20, Train ACC: 0.8661, Val ACC: 0.6250
subject_33, Fold 3, Epoch 21, Train ACC: 0.8750, Val ACC: 0.6250
subject_33, Fold 3, Epoch 22, Train ACC: 0.8750, Val ACC: 0.6607
subject_33, Fold 3, Epoch 23, Train ACC: 0.8795, Val ACC: 0.6607
subject_33, Fold 3, Epoch 24, Train ACC: 0.8929, Val ACC: 0.6071
subject_33, Fold 3, Epoch 25, Train ACC: 0.8839, Val ACC: 0.6071
subject_33, Fold 3, Epoch 26, Train ACC: 0.9241, Val ACC: 0.5893
subject_33, Fold 3, Epoch 27, Train ACC: 0.8884, Val ACC: 0.6429
subject_33, Fold 3, Epoch 28, Train ACC: 0.9062, Val ACC: 0.6071
subject_33, Fold 3, Epoch 29, Train ACC: 0.9062, Val ACC: 0.6429
subject_33, Fold 3, Epoch 30, Train ACC: 0.9330, Val ACC: 0.6071
subject_33, Fold 3, Epoch 31, Train ACC: 0.9062, Val ACC: 0.6250
subject_33, Fold 3, Epoch 32, Train ACC: 0.9196, Val ACC: 0.6429
subject_33, Fold 3, Best Epoch: 22, Final Val ACC: 0.6607, Final Val F1: 0.6495

subject_33, Fold 3, Epoch 1, Train ACC: 0.8259, Val ACC: 0.6607
subject_33, Fold 3, Epoch 2, Train ACC: 0.9241, Val ACC: 0.6071
subject_33, Fold 3, Epoch 3, Train ACC: 0.9732, Val ACC: 0.6071
subject_33, Fold 3, Epoch 4, Train ACC: 1.0000, Val ACC: 0.5536
subject_33, Fold 3, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6429
subject_33, Fold 3, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 3, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6429
subject_33, Fold 3, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6786
subject_33, Fold 3, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6429
subject_33, Fold 3, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Epoch 17, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 3, Best Epoch: 7, Final Val ACC: 0.6786, Final Val F1: 0.6755

subject_33, Fold 4, Epoch 1, Train ACC: 0.2857, Val ACC: 0.3929
subject_33, Fold 4, Epoch 2, Train ACC: 0.5446, Val ACC: 0.5357
subject_33, Fold 4, Epoch 3, Train ACC: 0.6027, Val ACC: 0.5179
subject_33, Fold 4, Epoch 4, Train ACC: 0.6473, Val ACC: 0.6607
subject_33, Fold 4, Epoch 5, Train ACC: 0.6830, Val ACC: 0.6786
subject_33, Fold 4, Epoch 6, Train ACC: 0.7098, Val ACC: 0.6429
subject_33, Fold 4, Epoch 7, Train ACC: 0.6786, Val ACC: 0.6786
subject_33, Fold 4, Epoch 8, Train ACC: 0.7321, Val ACC: 0.5000
subject_33, Fold 4, Epoch 9, Train ACC: 0.7232, Val ACC: 0.6429
subject_33, Fold 4, Epoch 10, Train ACC: 0.7723, Val ACC: 0.6607
subject_33, Fold 4, Epoch 11, Train ACC: 0.7812, Val ACC: 0.5714
subject_33, Fold 4, Epoch 12, Train ACC: 0.8080, Val ACC: 0.6964
subject_33, Fold 4, Epoch 13, Train ACC: 0.8125, Val ACC: 0.6429
subject_33, Fold 4, Epoch 14, Train ACC: 0.7991, Val ACC: 0.6964
subject_33, Fold 4, Epoch 15, Train ACC: 0.8214, Val ACC: 0.6964
subject_33, Fold 4, Epoch 16, Train ACC: 0.8304, Val ACC: 0.7321
subject_33, Fold 4, Epoch 17, Train ACC: 0.8214, Val ACC: 0.6964
subject_33, Fold 4, Epoch 18, Train ACC: 0.8393, Val ACC: 0.6429
subject_33, Fold 4, Epoch 19, Train ACC: 0.8527, Val ACC: 0.6964
subject_33, Fold 4, Epoch 20, Train ACC: 0.8616, Val ACC: 0.6964
subject_33, Fold 4, Epoch 21, Train ACC: 0.8839, Val ACC: 0.6786
subject_33, Fold 4, Epoch 22, Train ACC: 0.8616, Val ACC: 0.6250
subject_33, Fold 4, Epoch 23, Train ACC: 0.8839, Val ACC: 0.6071
subject_33, Fold 4, Epoch 24, Train ACC: 0.8616, Val ACC: 0.7143
subject_33, Fold 4, Epoch 25, Train ACC: 0.8973, Val ACC: 0.6964
subject_33, Fold 4, Epoch 26, Train ACC: 0.8884, Val ACC: 0.6607
subject_33, Fold 4, Best Epoch: 16, Final Val ACC: 0.7321, Final Val F1: 0.7281

subject_33, Fold 4, Epoch 1, Train ACC: 0.7277, Val ACC: 0.6607
subject_33, Fold 4, Epoch 2, Train ACC: 0.9420, Val ACC: 0.6786
subject_33, Fold 4, Epoch 3, Train ACC: 0.9777, Val ACC: 0.7500
subject_33, Fold 4, Epoch 4, Train ACC: 1.0000, Val ACC: 0.7143
subject_33, Fold 4, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6607
subject_33, Fold 4, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7321
subject_33, Fold 4, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 10, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7679
subject_33, Fold 4, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7679
subject_33, Fold 4, Epoch 13, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 14, Train ACC: 1.0000, Val ACC: 0.7679
subject_33, Fold 4, Epoch 15, Train ACC: 1.0000, Val ACC: 0.7679
subject_33, Fold 4, Epoch 16, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 17, Train ACC: 1.0000, Val ACC: 0.7679
subject_33, Fold 4, Epoch 18, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 19, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 20, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Epoch 21, Train ACC: 1.0000, Val ACC: 0.7500
subject_33, Fold 4, Best Epoch: 11, Final Val ACC: 0.7679, Final Val F1: 0.7669

====================
Subject 33 CV Results:
Median Epochs 1: 18.00
Median Epochs 2: 6.00
Mean ACC: 0.7321, Mean F1: 0.7241
====================

